Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457
"Population, total",SP.POP.TOTL,Andorra,AND,54509,65390,83861,84462,84449,83751,82431,80788,79223,78014,77281,76965
"Population, total",SP.POP.TOTL,Armenia,ARM,3538165,3069588,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8809212
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,8048600,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9862429
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,9979610,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9507875
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,10709973,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11331422,11372068
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4463422,3766706,3763599,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816,3507017
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075991
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140671,148725,157581,158603,159581,160497,161358,162180,162969,163758,164541,165314
"Population, total",SP.POP.TOTL,Croatia,HRV,4780000,4426000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,4203604,4174349,4125700
"Population, total",SP.POP.TOTL,Cyprus,CYP,766614,943286,1081563,1098076,1112607,1124835,1135062,1143896,1152309,1160985,1170125,1179551
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10333355,10255063,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10591323
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5769603
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1315480
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47594,47258,48485,48517,48550,48608,48666,48747,48842,48965,49117,49290
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5511303
"Population, total",SP.POP.TOTL,France,FRA,58512808,60912500,64374989,64707044,65027507,65342775,65659789,65998660,66316092,66593366,66859768,67118648
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4418300,4030000,3978000,3926000,3875000,3825000,3776000,3727000,3717100,3719300,3717100
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82695000
"Population, total",SP.POP.TOTL,Gibraltar,GIB,29164,31180,32732,32956,33189,33405,33623,33831,34038,34228,34408,34571
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10760421
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9781127
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,317414,318499,318041,319014,320716,323764,327386,330815,335439,341284
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4813608
"Population, total",SP.POP.TOTL,Isle of Man,IMN,68429,72554,78534,79325,80072,80759,81406,82013,82590,83167,83737,84287
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60551416
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,14883626,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037646
"Population, total",SP.POP.TOTL,Kosovo,XKX,1862000,1700000,1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200,1830700
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4898400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6201500
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1940740
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28747,33286,35541,35766,36003,36264,36545,36834,37127,37403,37666,37922
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2827721
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,488650,497783,506953,518347,530946,543360,556319,569604,582014,599449
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,1996228,2034819,2067378,2069093,2070739,2072383,2074036,2075739,2077495,2079308,2081206,2083160
"Population, total",SP.POP.TOTL,Moldova,MDA,3696000,3639592,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549750
"Population, total",SP.POP.TOTL,Monaco,MCO,29439,32082,35853,36534,37094,37497,37783,37971,38132,38307,38499,38695
"Population, total",SP.POP.TOTL,Montenegro,MNE,606372,604950,616969,618294,619428,620079,620601,621207,621810,622159,622303,622471
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17132854
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5190239,5234519,5282223
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37975841
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10293718
"Population, total",SP.POP.TOTL,Romania,ROU,23201835,22442971,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19702332,19586539
"Population, total",SP.POP.TOTL,Russian Federation,RUS,148292000,146596557,142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396,144495044
"Population, total",SP.POP.TOTL,San Marino,SMR,24043,27418,30351,30723,31110,31504,31914,32303,32657,32960,33203,33400
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7516346,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7022268
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439892
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066748
"Population, total",SP.POP.TOTL,Spain,ESP,38867322,40567864,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46572028
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10067744
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8466017
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5283728,6216205,7309728,7472819,7641630,7815949,7995062,8177809,8362745,8548651,8734951,8921343
"Population, total",SP.POP.TOTL,Turkey,TUR,53921699,63240121,70440032,71339185,72326914,73409455,74569867,75787333,77030628,78271472,79512426,80745020
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3683966,4516131,4935762,5007950,5087210,5174061,5267839,5366277,5466241,5565284,5662544,5758075
"Population, total",SP.POP.TOTL,Ukraine,UKR,51892000,49175848,46258200,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645,44831159
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66022273
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,24650400,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32387200
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 11/14/2018,,,,,,,,,,,,,,,
