,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,Australia,19640979.0,19872646.0,20091504.0,20339759.0,20605488.0,21015042.0,21431781.0,21874920.0,22342398.0,22620554.0,22683573.0
1,Austria,8139310.0,8067289.0,8140122.0,8206524.0,8265925.0,8298923.0,8331930.0,8355260.0,8375290.0,8404252.0,8443018.0
2,Belgium,10309725.0,10355844.0,10396421.0,10445852.0,10511382.0,10584534.0,10666866.0,10753080.0,10839905.0,10366843.0,11035958.0
3,Canada,,31361611.0,31372587.0,31989454.0,32299496.0,32649482.0,32927372.0,33327337.0,33334414.5,33927935.5,34492645.5
4,Czech Republic,10269726.0,10203269.0,10211455.0,10220577.0,10251079.0,10287189.0,10381130.0,10467542.0,10506813.0,10532770.0,10505445.0
5,Denmark,5368354.0,5383507.0,5397640.0,5411405.0,5427459.0,5447084.0,5475791.0,5511451.0,5534738.0,5560628.0,5580516.0
6,Finland,5194901.0,5206295.0,5219732.0,5236611.0,5255580.0,5276955.0,5300484.0,5326314.0,5351427.0,5375276.0,5401267.0
7,France,59337731.0,59630121.0,59900680.0,62518571.0,62998773.0,63392140.0,63753140.0,64366962.0,64716310.0,65129746.0,65394283.0
8,Germany,82440309.0,82536680.0,82531671.0,82500849.0,82437995.0,82314906.0,82217837.0,82002356.0,81802257.0,81751602.0,81843743.0
9,Greece,10988000.0,11006377.0,11040650.0,11082751.0,11125179.0,11171740.0,11213785.0,11260402.0,11305118.0,11309885.0,11290067.0
10,Hungary,10174853.0,10142362.0,10116742.0,10097549.0,10076581.0,10066158.0,10045401.0,10030975.0,10014324.0,9985722.0,9957731.0
11,Iceland,286575.0,288471.0,290570.0,293577.0,299891.0,307672.0,315459.0,319368.0,317630.0,318452.0,319575.0
12,Ireland,3882683.0,3963636.0,4027732.0,4109173.0,4209019.0,4239848.0,4401335.0,4450030.0,4467854.0,4569864.0,4582769.0
13,Italy,56993742.0,57321070.0,57888245.0,58462375.0,58751711.0,59131287.0,59619290.0,60045068.0,60340328.0,60626442.0,60820696.0
14,Japan,127291000.0,127435000.0,127620000.0,127687000.0,127767994.0,127770000.0,127771000.0,127692000.0,127510000.0,128057000.0,127799000.0
15,Korea,47639618.0,47925318.0,48082163.01,48138077.0,48297184.0,48456369.0,48606787.0,48746693.0,48874539.0,49779440.0,50004441.0
16,Luxembourg,444050.0,448300.0,451600.0,455000.0,469086.0,476187.0,483799.0,493500.0,502066.0,511840.0,524853.0
17,Mexico,101826249.0,103039964.0,104213503.0,103001871.0,103946866.0,104874282.0,105790725.0,106682518.0,107550697.0,108396211.0,115682867.7
18,Netherlands,16105285.0,16192572.0,16258032.0,16305526.0,16334210.0,16357992.0,16405399.0,16485787.0,16574989.0,16655799.0,16730348.0
19,New Zealand,3939130.0,4009200.0,4062500.0,4100570.0,4139470.0,4228280.0,4268880.0,4315840.0,4367740.0,4405150.0,4433100.0
20,Norway,4524066.0,4552252.0,4577457.0,4606363.0,4640219.0,4681134.0,4737171.0,4799252.0,4858199.0,4920305.0,4985870.0
21,Poland,38632453.0,38218531.0,38190608.0,38173835.0,38157055.0,38125479.0,38115641.0,38135876.0,38167329.0,38200037.0,38538447.0
22,Portugal,10335559.0,10407465.0,10474685.0,10529255.0,10569592.0,10599095.0,10617575.0,10627250.0,10637713.0,10636979.0,10542398.0
23,Slovak Republic,5378951.0,5379161.0,5380053.0,5384822.0,5389180.0,5393637.0,5400998.0,5412254.0,5424925.0,5435273.0,5404322.0
24,Spain,40409330.0,41550584.0,42345342.0,43038035.0,43758250.0,44474631.0,45283259.0,45828172.0,45989016.0,46152926.0,46818221.0
25,Sweden,8909128.0,8940788.0,8975670.0,9011392.0,9047752.0,9113257.0,9182927.0,9256347.0,9340682.0,9415570.0,9482855.0
26,Switzerland,7261210.0,7313853.0,7364148.0,7415102.0,7459128.0,7508739.0,7593494.0,7701856.0,7785806.0,7870134.0,7954662.0
27,Turkey,,70171980.0,70689500.0,71607500.0,72519974.0,72519974.0,70586256.0,71517100.0,72561312.0,73722988.0,74724269.0
28,United Kingdom,58706905169.0,59262057.0,59699828.0,60059858.0,60412870.0,60781346.0,61179260.0,61595094.0,62026962.0,62498612.0,63256154.0
29,United States,277244916.0,288774226.0,290810719.0,294442683.0,297308143.0,300184434.0,304846731.0,305127551.0,307756577.0,309989078.0,312232049.0
